frequency,impedance
1.4289999999999528,(-278.16714877587424+1915.1065898333284j)
1.4299999999999526,(-277.97277030379604+1913.7656188130877j)
1.4309999999999525,(-277.7786636230067+1912.4265205716254j)
1.4319999999999524,(-277.5848281641629+1911.0892911851222j)
1.4329999999999523,(-277.39126335950954+1909.753926740708j)
1.4339999999999522,(-277.1979686428762+1908.42042333643j)
1.434999999999952,(-277.0049434496699+1907.0887770812096j)
1.435999999999952,(-276.81218721687054+1905.7589840948042j)
1.4369999999999519,(-276.61969938302605+1904.4310405077779j)
1.4379999999999518,(-276.42747938824505+1903.1049424614525j)
1.4389999999999517,(-276.2355266741935+1901.7806861078782j)
1.4399999999999515,(-276.04384068408746+1900.4582676097918j)
1.4409999999999514,(-275.8524208626893+1899.1376831405835j)
1.4419999999999513,(-275.6612666563018+1897.8189288842561j)
1.4429999999999512,(-275.4703775127614+1896.50200103539j)
1.443999999999951,(-275.2797528814358+1895.1868957991094j)
1.444999999999951,(-275.08939221321504+1893.8736093910356j)
1.4459999999999509,(-274.89929496051036+1892.5621380372695j)
1.4469999999999508,(-274.709460577245+1891.2524779743344j)
1.4479999999999507,(-274.51988851885204+1889.9446254491531j)
1.4489999999999505,(-274.3305782422665+1888.638576719008j)
1.4499999999999504,(-274.14152920592306+1887.3343280515073j)
1.4509999999999503,(-273.95274086974814+1886.0318757245454j)
1.4519999999999502,(-273.76421269515737+1884.7312160262743j)
1.45299999999995,(-273.57594414504723+1883.4323452550573j)
1.45399999999995,(-273.3879346837936+1882.1352597194484j)
1.4549999999999499,(-273.20018377724415+1880.8399557381433j)
1.4559999999999498,(-273.012690892714+1879.546429639955j)
1.4569999999999497,(-272.82545549898106+1878.2546777637726j)
1.4579999999999496,(-272.63847706628025+1876.9646964585297j)
1.4589999999999494,(-272.4517550662992+1875.6764820831681j)
1.4599999999999493,(-272.26528897217315+1874.3900310066078j)
1.4609999999999492,(-272.0790782584797+1873.105339607707j)
1.4619999999999491,(-271.8931224012338+1871.8224042752315j)
1.462999999999949,(-271.70742087788386+1870.5412214078221j)
1.463999999999949,(-271.52197316730525+1869.2617874139564j)
